,,,,,SCF,,,
?,? ,?, ?,  ?,Chord saddle,Chord crown,Brace saddle,Brace crown
37.00,0.37,0.53,16.00,1.57,8.30,4.03,8.46,3.04
37.00,0.44,0.36,31.00,1.57,10.99,3.04,13.08,2.03
27.00,0.90,0.78,10.00,1.57,5.15,6.29,4.40,3.53
30.00,0.86,0.57,8.00,1.57,3.29,4.69,3.76,3.48
4.00,0.68,0.23,15.00,1.57,3.08,0.74,4.64,2.05
4.00,0.92,0.93,29.00,1.57,16.87,3.79,8.76,0.46
18.00,1.00,0.88,21.00,1.57,7.64,6.60,4.89,2.30
32.00,0.69,0.38,13.00,1.57,4.59,3.00,5.87,2.83
34.00,0.66,0.69,16.00,1.57,11.18,5.69,9.27,3.12
39.00,0.70,0.41,22.00,1.57,8.36,3.96,9.41,2.46
38.00,0.85,0.60,18.00,1.57,8.04,6.36,7.30,3.27
8.00,0.23,0.84,28.00,1.57,19.82,5.58,12.89,3.11
24.00,0.75,0.64,18.00,1.57,10.48,4.52,8.72,2.52
32.00,0.96,0.43,23.00,1.57,4.81,4.58,5.22,2.44
5.00,0.64,0.48,23.00,1.57,10.94,1.84,9.26,1.44
29.00,0.55,0.30,8.00,1.57,2.36,1.93,4.01,2.94
9.00,0.66,0.36,25.00,1.57,8.54,1.64,9.07,1.42
34.00,0.80,0.83,20.00,1.57,14.25,7.83,10.17,3.26
12.00,0.98,0.86,20.00,1.57,8.05,5.00,5.15,1.83
19.00,0.22,0.96,29.00,1.57,23.29,7.10,15.09,3.45
5.00,0.56,0.26,18.00,1.57,4.52,0.99,6.04,1.97
29.00,0.98,0.21,24.00,1.57,2.05,2.14,3.73,1.90
13.00,0.39,0.89,17.00,1.57,15.84,4.77,10.40,2.49
31.00,0.53,0.77,9.00,1.57,7.49,5.19,6.33,3.39
8.00,0.36,0.21,24.00,1.57,4.45,1.14,6.95,2.28
20.00,0.26,0.91,20.00,1.57,16.36,6.12,11.21,3.12
34.00,0.76,0.83,16.00,1.57,12.22,7.39,8.98,3.47
4.00,0.53,0.86,8.00,1.57,7.52,2.64,5.16,2.30
26.00,0.27,0.63,31.00,1.57,17.20,4.82,14.51,3.03
20.00,0.76,0.95,31.00,1.57,27.46,6.56,16.44,1.55
13.00,0.88,0.69,20.00,1.57,9.59,3.81,7.14,1.86
15.00,0.83,0.49,23.00,1.57,8.62,2.88,7.95,1.70
36.00,1.00,0.22,17.00,1.57,1.35,2.58,2.82,2.58
19.00,0.24,0.72,29.00,1.57,17.68,5.23,13.58,3.21
